question_id,question_text,participant_name,answer,created_at
6,"Qu’est-ce que la précarité menstruelle ?",Hamza,2,"2025-08-27 13:19:25"
7,"Une femme perd en moyenne l’équivalent d’1 à 3 cuillères à soupe de sang pendant ses règles",Hamza,0,"2025-08-27 13:19:42"
1,"Considérez-vous les règles comme un sujet tabou ?",TestUser1,3,"2025-09-15 14:24:04"
2,"Au travail, à l’école, en stage ou en sport, qu’est-ce qui vous stresse le plus pendant vos règles ?",TestUser1,0,"2025-09-15 14:24:04"
3,"Avez-vous déjà manqué l’école ou le travail à cause de vos règles ?",TestUser1,3,"2025-09-15 14:24:04"
4,"Combien de jours une femme est-elle menstruée en moyenne au cours de sa vie ?",TestUser1,1,"2025-09-15 14:24:04"
5,"À combien revient l’achat de protections périodiques jetables pour une femme au cours de sa vie ?",TestUser1,2,"2025-09-15 14:24:04"
6,"Qu’est-ce que la précarité menstruelle ?",TestUser1,1,"2025-09-15 14:24:04"
7,"Une femme perd en moyenne l’équivalent d’1 à 3 cuillères à soupe de sang pendant ses règles",TestUser1,1,"2025-09-15 14:24:04"
8,"Comment savoir si ses règles sont abondantes ?",TestUser1,0,"2025-09-15 14:24:04"
9,"Combien de jours dure en moyenne un cycle menstruel ?",TestUser1,3,"2025-09-15 14:24:04"
10,"Les règles commencent :",TestUser1,3,"2025-09-15 14:24:04"
11,"Combien y a‑t‑il de phases dans un cycle ?",TestUser1,0,"2025-09-15 14:24:04"
12,"Quels symptômes peuvent accompagner les règles ?",TestUser1,0,"2025-09-15 14:24:04"
13,"La douleur pendant les règles est-elle normale ?",TestUser1,3,"2025-09-15 14:24:04"
14,"Le SPM correspond à :",TestUser1,2,"2025-09-15 14:24:04"
15,"Quand est-il conseillé de consulter un médecin ou un gynécologue ?",TestUser1,3,"2025-09-15 14:24:04"
63,"Question de test 4 - Quelle est votre réponse préférée ?",TestUser1,3,"2025-09-15 14:24:04"
64,"Question de test 5 - Quelle est votre réponse préférée ?",TestUser1,0,"2025-09-15 14:24:04"
65,"Question de test 6 - Quelle est votre réponse préférée ?",TestUser1,1,"2025-09-15 14:24:04"
66,"Question de test 7 - Quelle est votre réponse préférée ?",TestUser1,2,"2025-09-15 14:24:04"
67,"Question de test 8 - Quelle est votre réponse préférée ?",TestUser1,3,"2025-09-15 14:24:04"
68,"Question de test 9 - Quelle est votre réponse préférée ?",TestUser1,3,"2025-09-15 14:24:04"
69,"Question de test 10 - Quelle est votre réponse préférée ?",TestUser1,2,"2025-09-15 14:24:04"
70,"Question de test 11 - Quelle est votre réponse préférée ?",TestUser1,2,"2025-09-15 14:24:04"
71,"Question de test 12 - Quelle est votre réponse préférée ?",TestUser1,0,"2025-09-15 14:24:04"
1,"Considérez-vous les règles comme un sujet tabou ?",TestUser2,1,"2025-09-15 14:24:04"
2,"Au travail, à l’école, en stage ou en sport, qu’est-ce qui vous stresse le plus pendant vos règles ?",TestUser2,0,"2025-09-15 14:24:04"
3,"Avez-vous déjà manqué l’école ou le travail à cause de vos règles ?",TestUser2,1,"2025-09-15 14:24:04"
4,"Combien de jours une femme est-elle menstruée en moyenne au cours de sa vie ?",TestUser2,1,"2025-09-15 14:24:04"
5,"À combien revient l’achat de protections périodiques jetables pour une femme au cours de sa vie ?",TestUser2,3,"2025-09-15 14:24:04"
6,"Qu’est-ce que la précarité menstruelle ?",TestUser2,0,"2025-09-15 14:24:04"
7,"Une femme perd en moyenne l’équivalent d’1 à 3 cuillères à soupe de sang pendant ses règles",TestUser2,0,"2025-09-15 14:24:04"
8,"Comment savoir si ses règles sont abondantes ?",TestUser2,1,"2025-09-15 14:24:04"
9,"Combien de jours dure en moyenne un cycle menstruel ?",TestUser2,1,"2025-09-15 14:24:04"
10,"Les règles commencent :",TestUser2,2,"2025-09-15 14:24:04"
11,"Combien y a‑t‑il de phases dans un cycle ?",TestUser2,0,"2025-09-15 14:24:04"
12,"Quels symptômes peuvent accompagner les règles ?",TestUser2,0,"2025-09-15 14:24:04"
13,"La douleur pendant les règles est-elle normale ?",TestUser2,0,"2025-09-15 14:24:04"
14,"Le SPM correspond à :",TestUser2,0,"2025-09-15 14:24:04"
15,"Quand est-il conseillé de consulter un médecin ou un gynécologue ?",TestUser2,3,"2025-09-15 14:24:04"
63,"Question de test 4 - Quelle est votre réponse préférée ?",TestUser2,2,"2025-09-15 14:24:04"
64,"Question de test 5 - Quelle est votre réponse préférée ?",TestUser2,0,"2025-09-15 14:24:04"
65,"Question de test 6 - Quelle est votre réponse préférée ?",TestUser2,3,"2025-09-15 14:24:04"
66,"Question de test 7 - Quelle est votre réponse préférée ?",TestUser2,3,"2025-09-15 14:24:04"
67,"Question de test 8 - Quelle est votre réponse préférée ?",TestUser2,0,"2025-09-15 14:24:04"
68,"Question de test 9 - Quelle est votre réponse préférée ?",TestUser2,3,"2025-09-15 14:24:04"
69,"Question de test 10 - Quelle est votre réponse préférée ?",TestUser2,1,"2025-09-15 14:24:04"
70,"Question de test 11 - Quelle est votre réponse préférée ?",TestUser2,0,"2025-09-15 14:24:04"
71,"Question de test 12 - Quelle est votre réponse préférée ?",TestUser2,0,"2025-09-15 14:24:04"
1,"Considérez-vous les règles comme un sujet tabou ?",TestUser3,2,"2025-09-15 14:24:04"
2,"Au travail, à l’école, en stage ou en sport, qu’est-ce qui vous stresse le plus pendant vos règles ?",TestUser3,2,"2025-09-15 14:24:04"
3,"Avez-vous déjà manqué l’école ou le travail à cause de vos règles ?",TestUser3,0,"2025-09-15 14:24:04"
4,"Combien de jours une femme est-elle menstruée en moyenne au cours de sa vie ?",TestUser3,0,"2025-09-15 14:24:04"
5,"À combien revient l’achat de protections périodiques jetables pour une femme au cours de sa vie ?",TestUser3,0,"2025-09-15 14:24:04"
6,"Qu’est-ce que la précarité menstruelle ?",TestUser3,3,"2025-09-15 14:24:04"
7,"Une femme perd en moyenne l’équivalent d’1 à 3 cuillères à soupe de sang pendant ses règles",TestUser3,2,"2025-09-15 14:24:04"
8,"Comment savoir si ses règles sont abondantes ?",TestUser3,1,"2025-09-15 14:24:04"
9,"Combien de jours dure en moyenne un cycle menstruel ?",TestUser3,1,"2025-09-15 14:24:04"
10,"Les règles commencent :",TestUser3,1,"2025-09-15 14:24:04"
11,"Combien y a‑t‑il de phases dans un cycle ?",TestUser3,0,"2025-09-15 14:24:04"
12,"Quels symptômes peuvent accompagner les règles ?",TestUser3,1,"2025-09-15 14:24:04"
13,"La douleur pendant les règles est-elle normale ?",TestUser3,3,"2025-09-15 14:24:04"
14,"Le SPM correspond à :",TestUser3,2,"2025-09-15 14:24:04"
15,"Quand est-il conseillé de consulter un médecin ou un gynécologue ?",TestUser3,1,"2025-09-15 14:24:04"
63,"Question de test 4 - Quelle est votre réponse préférée ?",TestUser3,3,"2025-09-15 14:24:04"
64,"Question de test 5 - Quelle est votre réponse préférée ?",TestUser3,1,"2025-09-15 14:24:04"
65,"Question de test 6 - Quelle est votre réponse préférée ?",TestUser3,2,"2025-09-15 14:24:04"
66,"Question de test 7 - Quelle est votre réponse préférée ?",TestUser3,0,"2025-09-15 14:24:04"
67,"Question de test 8 - Quelle est votre réponse préférée ?",TestUser3,0,"2025-09-15 14:24:04"
68,"Question de test 9 - Quelle est votre réponse préférée ?",TestUser3,0,"2025-09-15 14:24:04"
69,"Question de test 10 - Quelle est votre réponse préférée ?",TestUser3,1,"2025-09-15 14:24:04"
70,"Question de test 11 - Quelle est votre réponse préférée ?",TestUser3,3,"2025-09-15 14:24:04"
71,"Question de test 12 - Quelle est votre réponse préférée ?",TestUser3,0,"2025-09-15 14:24:04"
